
optmask_ct_eps45_steps20, inceptionresnetv1, mean cosine similarty,0.65017
optmask_ct_eps40_steps20, inceptionresnetv1, mean cosine similarty,0.63929
optmask_ct_eps35_steps20, inceptionresnetv1, mean cosine similarty,0.62608
optmask_ct_eps45_steps30, inceptionresnetv1, mean cosine similarty,0.65249
optmask_ct_eps35_steps30, inceptionresnetv1, mean cosine similarty,0.62786
optmask_ct_eps40_steps30, inceptionresnetv1, mean cosine similarty,0.64143
optmask_ct_eps45_steps40, inceptionresnetv1, mean cosine similarty,0.65354
optmask_ct_eps40_steps40, inceptionresnetv1, mean cosine similarty,0.64241
optmask_ct_eps35_steps40, inceptionresnetv1, mean cosine similarty,0.62875
optmask_ct_eps40_steps50, inceptionresnetv1, mean cosine similarty,0.643
optmask_ct_eps35_steps50, inceptionresnetv1, mean cosine similarty,0.62929
optmask_ct_eps45_steps50, inceptionresnetv1, mean cosine similarty,0.65432
optmask_ct_eps45_steps75, inceptionresnetv1, mean cosine similarty,0.65511
optmask_ct_eps35_steps75, inceptionresnetv1, mean cosine similarty,0.62999
optmask_ct_eps40_steps75, inceptionresnetv1, mean cosine similarty,0.64386
optmask_ct_eps45_steps100, inceptionresnetv1, mean cosine similarty,0.65555
optmask_ct_eps40_steps100, inceptionresnetv1, mean cosine similarty,0.64422
optmask_ct_eps35_steps100, inceptionresnetv1, mean cosine similarty,0.63043
optmask_pict_eps45_steps20, inceptionresnetv1, mean cosine similarty,0.73344
optmask_pict_eps40_steps20, inceptionresnetv1, mean cosine similarty,0.72942
optmask_pict_eps35_steps20, inceptionresnetv1, mean cosine similarty,0.72331
optmask_clip_pict_eps35_steps20, inceptionresnetv1, mean cosine similarty,0.72329
optmask_clip_pict_eps45_steps20, inceptionresnetv1, mean cosine similarty,0.73328
optmask_pict_eps40_steps30, inceptionresnetv1, mean cosine similarty,0.73967
optmask_pict_eps45_steps30, inceptionresnetv1, mean cosine similarty,0.74493
optmask_clip_pict_eps40_steps30, inceptionresnetv1, mean cosine similarty,0.73982
optmask_pict_eps45_steps40, inceptionresnetv1, mean cosine similarty,0.74992
optmask_clip_pict_eps40_steps20, inceptionresnetv1, mean cosine similarty,0.72925
optmask_clip_pict_eps45_steps30, inceptionresnetv1, mean cosine similarty,0.74482
optmask_pict_eps35_steps40, inceptionresnetv1, mean cosine similarty,0.7357
optmask_clip_pict_eps35_steps30, inceptionresnetv1, mean cosine similarty,0.73208
optmask_pict_eps40_steps40, inceptionresnetv1, mean cosine similarty,0.74398
